date,close,open,high,low
03/22/2021,4.56,4.58,4.62,4.56
,,,,
03/19/2021,4.62,4.72,4.72,4.56
03/18/2021,4.72,4.71,4.73,4.69
03/17/2021,4.71,4.78,4.8,4.7
03/16/2021,4.78,4.75,4.79,4.71
03/15/2021,4.73,4.72,4.77,4.7
,,,,
12/3/2021,4.74,4.88,4.9,4.71
11/3/2021,4.88,4.9,4.95,4.86
10/3/2021,4.94,4.97,5.03,4.89
9/3/2021,5,4.88,5.08,4.88
8/3/2021,4.93,4.81,5.02,4.79
,,,,
5/3/2021,4.83,4.9,4.9,4.67
4/3/2021,4.935,4.828,4.974,4.809
3/3/2021,4.828,4.838,4.886,4.77
2/3/2021,4.809,4.916,4.916,4.692
1/3/2021,4.886,4.809,4.916,4.78
,,,,
02/26/2021,4.77,4.857,4.877,4.75
02/25/2021,4.896,4.818,4.954,4.799
02/24/2021,4.76,4.614,4.954,4.614
02/23/2021,4.41,4.449,4.508,4.342
02/22/2021,4.449,4.255,4.469,4.255
,,,,
02/19/2021,4.255,4.226,4.265,4.148
02/18/2021,4.226,4.236,4.236,4.158
02/17/2021,4.226,4.245,4.265,4.177
02/16/2021,4.236,4.148,4.236,4.1
,,,,
11/2/2021,4.148,4.061,4.148,4.041
10/2/2021,4.061,4.08,4.08,4.051
9/2/2021,4.061,4.061,4.07,4.041
8/2/2021,4.061,4.08,4.08,4.041
,,,,
5/2/2021,4.061,4.07,4.07,4.041
4/2/2021,4.051,4.09,4.09,4.041
3/2/2021,4.09,4.032,4.1,4.032
2/2/2021,4.041,4.051,4.08,4.032
1/2/2021,4.051,4.051,4.08,4.002
,,,,
01/29/2021,4.051,4.061,4.1,4.041
01/28/2021,4.07,4.061,4.09,4.051
01/27/2021,4.109,4.09,4.119,4.041
01/26/2021,4.09,4.119,4.119,4.07
01/25/2021,4.138,4.158,4.177,4.109
,,,,
01/22/2021,4.158,4.245,4.245,4.129
01/21/2021,4.236,4.255,4.274,4.216
01/20/2021,4.236,4.168,4.236,4.168
01/19/2021,4.168,4.129,4.197,4.109
01/18/2021,4.148,4.168,4.168,4.1
,,,,
01/15/2021,4.148,4.177,4.177,4.1
01/14/2021,4.148,4.138,4.177,4.109
01/13/2021,4.138,4.08,4.197,4.08
12/1/2021,4.08,4.061,4.08,4.012
11/1/2021,4.022,4.061,4.08,4.012
,,,,
8/1/2021,4.07,4.051,4.08,3.993
7/1/2021,4.051,4.07,4.1,4.022
6/1/2021,4.07,4.1,4.1,4.061
5/1/2021,4.09,4.061,4.1,4.051
4/1/2021,4.041,4.051,4.08,4.012
,,,,
12/31/2020,4.022,4.032,4.061,4.022
12/30/2020,4.022,4.032,4.051,4.012
12/29/2020,4.032,4.051,4.07,4.022
12/28/2020,4.032,4.032,4.051,4.002
,,,,
12/24/2020,4.022,4.032,4.032,4.012
12/23/2020,4.032,4.07,4.07,4.032
12/22/2020,4.07,4.051,4.07,4.022
12/21/2020,4.051,4.061,4.07,4.032
,,,,
12/18/2020,4.061,4.061,4.109,4.061
12/17/2020,4.109,4.1,4.129,4.07
12/16/2020,4.08,4.109,4.119,4.061
12/15/2020,4.109,4.158,4.158,4.032
12/14/2020,4.148,4.197,4.197,4.138
,,,,
11/12/2020,4.158,4.177,4.177,4.129
10/12/2020,4.158,4.197,4.197,4.148
9/12/2020,4.177,4.206,4.206,4.129
8/12/2020,4.177,4.236,4.236,4.177
7/12/2020,4.236,4.245,4.245,4.158
,,,,
4/12/2020,4.216,4.274,4.274,4.177
3/12/2020,4.255,4.245,4.265,4.206
2/12/2020,4.226,4.197,4.226,4.148
1/12/2020,4.197,4.236,4.236,4.129
11/30/2020,4.168,4.216,4.274,4.158
,,,,
11/27/2020,4.216,4.265,4.274,4.197
11/26/2020,4.265,4.313,4.333,4.255
11/25/2020,4.313,4.294,4.372,4.294
11/24/2020,4.284,4.197,4.284,4.187
11/23/2020,4.197,4.304,4.333,4.187
,,,,
11/20/2020,4.333,4.381,4.381,4.284
11/19/2020,4.381,4.236,4.41,4.216
11/18/2020,4.245,4.274,4.274,4.245
11/17/2020,4.294,4.372,4.372,4.245
11/16/2020,4.333,4.061,4.352,4.061
,,,,
11/13/2020,4.061,4.051,4.07,4.022
12/11/2020,4.051,4.061,4.08,4.032
11/11/2020,4.051,4.08,4.1,4.002
10/11/2020,4.051,4.129,4.138,4.032
9/11/2020,4.041,4.023,4.079,3.985
,,,,
6/11/2020,3.976,3.938,3.985,3.919
5/11/2020,3.938,3.966,3.966,3.929
4/11/2020,3.957,3.919,3.957,3.91
3/11/2020,3.929,3.919,3.938,3.891
2/11/2020,3.891,3.919,3.919,3.891
,,,,
10/30/2020,3.919,3.966,3.966,3.91
10/29/2020,3.957,3.947,3.966,3.882
10/28/2020,3.947,3.966,3.966,3.919
10/27/2020,3.938,3.985,3.985,3.919
,,,,
10/23/2020,3.957,3.947,3.985,3.91
10/22/2020,3.929,3.91,3.947,3.901
10/21/2020,3.91,3.966,3.966,3.91
10/20/2020,3.947,3.957,3.957,3.919
10/19/2020,3.947,3.966,3.966,3.919
,,,,
10/16/2020,3.929,3.929,3.947,3.929
10/15/2020,3.91,3.929,3.929,3.901
10/14/2020,3.919,3.947,3.957,3.919
12/10/2020,3.947,3.919,3.947,3.91
,,,,
9/10/2020,3.919,3.919,3.938,3.91
8/10/2020,3.919,3.938,3.938,3.901
7/10/2020,3.901,3.938,3.947,3.901
6/10/2020,3.919,3.938,3.938,3.891
5/10/2020,3.91,3.919,3.919,3.863
,,,,
