date,close,open,high,low
03/17/2021,124.76,124.05,125.86,122.336
03/16/2021,125.57,125.7,127.22,124.715
03/15/2021,123.99,121.41,124,120.42
12/3/2021,121.03,120.4,121.17,119.16
11/3/2021,121.96,122.54,123.21,121.26
10/3/2021,119.98,121.69,122.17,119.45
9/3/2021,121.085,119.03,122.06,118.79
8/3/2021,116.36,120.93,121,116.21
,,,,
5/3/2021,121.42,120.98,121.935,117.57
4/3/2021,120.13,121.75,123.6,118.62
3/3/2021,122.06,124.81,125.71,121.84
2/3/2021,125.12,128.41,128.72,125.01
1/3/2021,127.79,123.75,127.93,122.79
,,,,
02/26/2021,121.26,122.59,124.85,121.2
02/25/2021,120.99,124.68,126.459,120.54
02/24/2021,125.35,124.94,125.56,122.23
02/23/2021,125.86,123.76,126.71,118.39
02/22/2021,126,128.01,129.72,125.6
,,,,
02/19/2021,129.87,130.24,130.71,128.8
02/18/2021,129.71,129.2,129.995,127.41
02/17/2021,130.84,131.25,132.22,129.47
02/16/2021,133.19,135.49,136.01,132.79
,,,,
12/2/2021,135.37,134.35,135.53,133.692
11/2/2021,135.13,135.9,136.39,133.77
10/2/2021,135.39,136.48,136.99,134.4
9/2/2021,136.01,136.62,137.877,135.85
8/2/2021,136.91,136.03,136.96,134.92
,,,,
5/2/2021,136.76,137.35,137.42,135.86
4/2/2021,137.185,136.097,137.195,134.389
3/2/2021,133.74,135.557,135.567,133.411
2/2/2021,134.789,135.527,136.107,134.409
1/2/2021,133.94,133.55,135.178,130.735
,,,,
01/29/2021,131.763,135.627,136.536,130.016
01/28/2021,136.885,139.312,141.778,136.496
01/27/2021,141.848,143.216,144.085,140.201
01/26/2021,142.946,143.386,144.085,141.159
01/25/2021,142.707,142.857,144.874,136.336
,,,,
01/22/2021,138.862,136.077,139.641,134.819
01/21/2021,136.666,133.6,139.462,133.391
01/20/2021,131.833,128.468,132.292,128.358
01/19/2021,127.639,127.589,128.518,126.749
,,,,
01/15/2021,126.95,128.588,130.03,126.811
01/14/2021,128.718,130.605,130.805,128.568
01/13/2021,130.695,128.568,131.254,128.298
12/1/2021,128.608,128.308,129.496,126.671
11/1/2021,128.788,128.997,129.976,128.308
,,,,
8/1/2021,131.853,132.232,132.432,130.036
7/1/2021,130.725,128.168,131.434,127.669
6/1/2021,126.411,127.529,130.854,126.193
5/1/2021,130.815,128.698,131.543,128.238
4/1/2021,129.217,133.321,133.412,126.571
,,,,
12/31/2020,132.492,133.88,134.539,131.523
12/30/2020,133.52,135.378,135.787,133.201
12/29/2020,134.669,137.844,138.582,134.14
12/28/2020,136.486,133.79,137.135,133.311
,,,,
12/24/2020,131.773,131.124,133.261,130.904
12/23/2020,130.765,131.963,132.232,130.585
12/22/2020,131.683,131.414,134.204,129.457
12/21/2020,128.039,124.833,128.119,123.265
,,,,
12/18/2020,126.466,128.768,128.907,125.932
12/17/2020,128.508,128.708,129.387,127.854
12/16/2020,127.619,127.22,128.178,126.371
12/15/2020,127.689,124.154,127.709,123.945
12/14/2020,121.598,122.417,123.166,121.359
,,,,
11/12/2020,122.227,122.247,122.577,120.37
10/12/2020,123.056,120.32,123.685,119.971
9/12/2020,121.598,124.344,125.762,120.819
8/12/2020,124.194,124.184,124.794,122.906
7/12/2020,123.565,122.128,124.384,122.068
,,,,
4/12/2020,122.068,122.417,122.677,121.339
3/12/2020,122.757,123.336,123.595,122.028
2/12/2020,122.896,121.838,123.186,120.71
1/12/2020,122.537,120.829,123.285,119.831
11/30/2020,118.872,116.795,120.789,116.636
,,,,
11/27/2020,116.416,116.396,117.315,116.047
11/25/2020,115.857,115.378,116.576,114.998
11/24/2020,114.998,113.74,115.677,112.422
11/23/2020,113.68,117.005,117.445,113.58
,,,,
11/20/2020,117.165,118.463,118.593,117.115
11/19/2020,118.463,117.415,118.882,116.636
11/18/2020,117.854,118.433,119.641,117.824
11/17/2020,119.212,119.372,120.494,118.783
11/16/2020,120.12,118.743,120.809,117.97
,,,,
11/13/2020,119.082,119.262,119.493,117.694
12/11/2020,119.032,119.442,120.35,118.393
11/11/2020,119.312,117.015,119.451,116.266
10/11/2020,115.797,115.378,117.415,113.96
9/11/2020,116.146,120.32,121.808,115.877
,,,,
6/11/2020,118.513,118.143,119.022,115.957
5/11/2020,118.648,117.571,119.236,116.493
4/11/2020,114.581,113.773,115.219,111.989
3/11/2020,110.085,109.308,111.132,108.381
2/11/2020,108.421,108.76,110.325,106.975
,,,,
10/30/2020,108.51,110.703,111.63,107.374
10/29/2020,114.95,112.009,116.554,111.84
10/28/2020,110.843,114.68,115.059,110.743
10/27/2020,116.226,115.119,116.903,114.172
10/26/2020,114.68,113.644,116.176,112.517
,,,,
10/23/2020,114.671,116.016,116.176,113.913
10/22/2020,115.378,117.073,117.661,114.222
10/21/2020,116.495,116.295,118.324,116.076
10/20/2020,117.133,115.827,118.598,115.259
10/19/2020,115.607,119.575,120.032,115.289
,,,,
10/16/2020,118.638,120.89,121.158,118.428
10/15/2020,120.322,118.339,120.811,117.771
10/14/2020,120.801,120.611,122.635,119.236
10/13/2020,120.711,124.868,124.987,119.266
12/10/2020,124,119.674,124.778,118.901
,,,,
9/10/2020,116.594,114.91,116.624,114.551
8/10/2020,114.601,115.877,116.026,114.222
7/10/2020,114.71,114.252,115.179,113.763
6/10/2020,112.797,115.328,115.747,111.889
5/10/2020,116.126,113.544,116.275,113.185
,,,,
2/10/2020,112.657,112.527,114.999,111.86
1/10/2020,116.415,117.262,117.342,115.458
09/30/2020,115.438,113.425,116.883,113.255
09/29/2020,113.724,114.182,114.94,113.205
09/28/2020,114.591,114.641,114.95,112.418
,,,,
09/25/2020,111.919,108.082,112.079,107.324
09/24/2020,107.872,104.832,109.896,104.663
09/23/2020,106.776,111.261,111.75,106.427
09/22/2020,111.451,112.318,112.498,108.809
09/21/2020,109.726,104.204,109.836,102.769
,,,,
09/18/2020,106.497,110.045,110.524,105.749
09/17/2020,109.986,109.368,111.84,108.361
09/16/2020,111.77,114.86,115.627,111.68
09/15/2020,115.169,117.95,118.447,113.245
09/14/2020,114.984,114.352,115.558,112.438
,,,,
11/9/2020,111.64,114.202,114.86,109.647
10/9/2020,113.125,119.973,120.113,112.139
9/9/2020,116.943,116.883,118.757,114.89
8/9/2020,112.458,113.584,118.608,112.318
,,,,
4/9/2020,120.571,119.684,123.303,110.534
3/9/2020,120.492,126.502,128.426,120.113
2/9/2020,130.978,137.148,137.537,126.592
1/9/2020,133.749,132.334,134.367,130.111
08/31/2020,128.626,127.17,130.579,125.595
,,,,
08/28/2020,124.407,125.608,126.036,124.177
08/27/2020,124.608,126.734,127.076,123.435
08/26/2020,126.116,125.774,126.585,124.681
08/25/2020,124.424,124.297,124.777,122.657
08/24/2020,125.453,128.284,128.371,123.538
,,,,
08/21/2020,123.971,118.879,124.467,118.867
08/20/2020,117.895,115.378,118.012,115.362
08/19/2020,115.336,115.611,116.786,115.239
08/18/2020,115.191,113.985,115.627,113.641
08/17/2020,114.239,115.69,115.715,113.596
,,,,
08/14/2020,114.538,114.46,114.631,112.682
08/13/2020,114.641,114.062,115.67,113.562
12/8/2020,112.647,110.143,112.911,109.943
11/8/2020,109.024,111.609,112.121,108.756
10/8/2020,112.365,112.238,113.41,109.647
,,,,
7/8/2020,110.756,112.841,113.31,109.938
