date,close,open,high,low
03/17/2021,28.93,28.15,28.95,27.8183
03/16/2021,28.25,29.95,29.98,27.85
03/15/2021,29.79,28.975,30.12,28.9
,,,,
12/3/2021,28.46,27.38,28.5,27.29
11/3/2021,27.47,27.02,27.77,26.48
10/3/2021,26.7,27.4,28.42,26.67
9/3/2021,27.58,26.99,27.8483,25.8
8/3/2021,26.69,27.04,27.27,25.795
,,,,
5/3/2021,26.09,27.11,27.16,23.26
4/3/2021,27.4,29.09,29.43,26.23
3/3/2021,28.67,28.45,29.59,28.18
2/3/2021,27.59,26.91,27.845,26.5401
1/3/2021,26.31,27.55,27.915,26.02
,,,,
02/26/2021,26.75,25.89,26.86,25.2713
02/25/2021,25.47,27.91,28.2392,25.07
02/24/2021,27.01,27.09,28.18,26.73
02/23/2021,26.46,25.08,26.725,23.46
02/22/2021,25.97,25.14,27.33,24.65
,,,,
02/19/2021,24.59,23.62,24.72,23.48
02/18/2021,22.89,22.97,23.15,22.38
02/17/2021,23.2,22.28,24.0599,21.88
02/16/2021,22.47,21.16,22.56,20.96
,,,,
12/2/2021,20.6,20.1,20.83,20.05
11/2/2021,20.72,20.9,21.13,20.46
10/2/2021,20.93,21.15,21.65,20.87
9/2/2021,21.05,21.42,21.42,20.68
8/2/2021,21.61,21.6,21.81,21.245
,,,,
5/2/2021,21.31,21.39,21.7482,21.13
4/2/2021,21.05,21,21.325,20.66
3/2/2021,20.44,19.63,20.49,19.4397
2/2/2021,19.45,19.22,19.6,18.98
1/2/2021,18.8,18.96,19.13,18.41
,,,,
01/29/2021,18.67,19.7,19.81,18.38
01/28/2021,19.74,20.1,20.67,19.655
01/27/2021,18.98,18.41,19.415,17.96
01/26/2021,18.72,19.4,19.51,18.62
01/25/2021,19.22,19.8,19.8097,18.73
,,,,
01/22/2021,20.22,20.31,20.425,20.04
01/21/2021,20.74,20.7,20.88,20.32
01/20/2021,20.78,21.01,21.21,20.59
01/19/2021,20.87,21,21.255,20.61
,,,,
01/15/2021,20.79,20.78,21.3993,20.5682
01/14/2021,20.92,20.46,21.55,20.45
01/13/2021,20.1,19.86,20.205,19.68
12/1/2021,20.13,20.05,20.14,19.61
11/1/2021,20.14,20.17,20.44,19.63
,,,,
8/1/2021,20.47,20.87,21.02,20.18
7/1/2021,20.74,20.48,21.28,20.47
6/1/2021,20.4,20.54,20.915,20.16
5/1/2021,20.6,20.18,20.85,20.15
4/1/2021,20.38,21.7,21.71,20.04
,,,,
12/31/2020,21.66,21.62,21.79,20.9
12/30/2020,21.79,21.52,22.09,21.38
12/29/2020,21.43,22.22,22.27,21.36
12/28/2020,21.71,21.31,22.05,21.02
,,,,
