date,close,open,high,low
03/17/2021,195.24,193.44,196.19,191.781
03/16/2021,194.24,196.1,196.59,192.88
03/15/2021,196.76,198.54,198.54,194.805
,,,,
12/3/2021,197.16,196.53,198.41,195.18
11/3/2021,196.75,197.38,199.05,195.4
10/3/2021,195.06,197.31,198.8,194.68
9/3/2021,194.51,200.185,201.7,194.37
8/3/2021,201.91,197.31,203.02,193.79
,,,,
5/3/2021,189.99,189.15,190.57,183.34
4/3/2021,188.03,189.895,192.48,184.12
3/3/2021,192.26,194.63,196.81,192.21
2/3/2021,193.94,196.1,197.9567,193.49
1/3/2021,194.98,193.23,196.9,191.39
,,,,
02/26/2021,189.04,190.07,191.61,185.4501
02/25/2021,190.98,197.73,197.96,190.38
02/24/2021,197.51,197.58,200.6,195.33
02/23/2021,197.09,193.59,198.94,188.66
02/22/2021,191.76,181.74,194.02,181.53
,,,,
02/19/2021,183.65,184.27,184.78,182.79
02/18/2021,183,184.79,186.4,182.84
02/17/2021,186.44,185.36,187.63,182.16
02/16/2021,186.35,187.3,188.44,184.86
,,,,
12/2/2021,187.67,193,193.85,186.56
11/2/2021,190.91,189.18,191.25,188.07
10/2/2021,189.63,189.98,190.7,185.81
9/2/2021,188.21,188.17,189.25,186.04
8/2/2021,190,183.85,190.64,183.3
,,,,
5/2/2021,181.16,181.71,182.32,179.33
4/2/2021,180.23,177.59,181.38,176.49
3/2/2021,176.43,177,178.4299,175.76
2/2/2021,176.96,173.77,179.755,172.8002
1/2/2021,170.97,170.835,171.7289,168.03
,,,,
01/29/2021,168.17,168.8,169.81,165.7901
01/28/2021,171.88,166.17,172.88,165.95
01/27/2021,163.03,165.01,166.34,160.52
01/26/2021,169.56,173,173.345,169.05
01/25/2021,171.89,171.89,173.11,168.77
,,,,
01/22/2021,172.78,174,175.2499,171.89
01/21/2021,171.28,173.24,175,171.02
01/20/2021,173.64,175.22,177.88,173
01/19/2021,172.26,172.1,173.71,171.44
,,,,
01/15/2021,171.44,172.95,174.19,170.17
01/14/2021,173.43,177.01,178.35,173.4
01/13/2021,176.12,174.4,177.73,173.74
12/1/2021,175.99,177.3,178.32,174.861
11/1/2021,179.09,177.75,181.255,177.35
,,,,
8/1/2021,178.69,178.81,180.02,176.6
7/1/2021,178.58,179.5,179.95,177.575
6/1/2021,179.12,178.32,181.61,177.2836
5/1/2021,178.44,176.2,180.3399,176.2
4/1/2021,177.68,182.255,182.59,174.73
,,,,
12/31/2020,181.18,181.22,183.4,180.27
12/30/2020,181.17,178.5,183.4,178.37
12/29/2020,177.3,180.01,180.2,176.22
12/28/2020,178.86,175.75,179.92,175.05
,,,,
12/24/2020,173.73,173.99,174.5799,172.38
12/23/2020,173.55,172.96,175.95,172.3
12/22/2020,170.45,170,171.45,169.16
12/21/2020,170.69,170.09,171.94,168.19
,,,,
12/18/2020,172.89,173.6,175.843,172.28
12/17/2020,173.55,173.815,174.84,171.96
12/16/2020,173.12,173.99,174.85,171.6226
12/15/2020,173.94,170.49,174.4699,167.8201
12/14/2020,169.3,173.8,177.3,168.81
,,,,
11/12/2020,175.72,169.675,179.45,165.33
10/12/2020,154.69,153.32,155.34,152.5
9/12/2020,154.43,156.29,157.46,153.89
8/12/2020,153.72,152.42,154.88,152.2505
7/12/2020,153.68,153.18,153.88,152.26
,,,,
4/12/2020,154.14,153.69,154.68,152.81
3/12/2020,153.24,153.45,154.4399,152.13
2/12/2020,153.61,149.49,154.01,148.34
1/12/2020,149.44,149.57,151.4,149
11/30/2020,148.01,147.06,148.69,146.29
,,,,
11/27/2020,147.13,149,150.3499,146.53
11/25/2020,149.09,150.27,150.27,147.235
11/24/2020,151.49,148.16,151.86,147.849
11/23/2020,145.98,142.45,147.75,141.7
,,,,
11/20/2020,141.07,141.71,142.61,140.86
11/19/2020,141.72,142.57,143.2996,141.7
11/18/2020,143.9,144.5,145.48,143.35
11/17/2020,144.5,144.4,144.83,142.56
11/16/2020,144.67,141.57,144.74,141.57
,,,,
11/13/2020,138.36,140.9,141.19,136.52
12/11/2020,135.52,136.34,138.49,134.105
11/11/2020,137.82,141.47,142,136.62
10/11/2020,142.11,139.97,142.37,137.67
9/11/2020,142.59,140.26,147.68,138.065
,,,,
6/11/2020,127.46,126.255,128.04,124.6147
5/11/2020,126.96,126.78,128.62,125.8
4/11/2020,125.07,123.58,126.86,123.41
3/11/2020,124.02,121.605,125.07,121.37
2/11/2020,120.13,122.24,122.93,119.81
,,,,
10/30/2020,121.25,120.64,121.75,119.0881
10/29/2020,121.54,118.16,122.63,117.23
10/28/2020,118.47,121.01,121.53,118.32
10/27/2020,123.31,124.03,124.61,123.03
10/26/2020,124.06,127.11,127.11,122.95
,,,,
10/23/2020,128.35,128.1,128.5,126.35
10/22/2020,127.56,126.67,128.1,125.97
10/21/2020,126.63,124.36,127.56,123.835
10/20/2020,124.95,124.58,125.73,123.64
10/19/2020,124.23,127.37,127.4,123.71
,,,,
10/16/2020,126.81,127.81,128.12,126.33
10/15/2020,127.36,125,127.4,124.43
10/14/2020,126.59,129.14,129.5,125.29
10/13/2020,128.96,129.8,131.36,127.9
12/10/2020,124.97,124.9,125.94,123.73
,,,,
9/10/2020,124.98,123.85,125.5495,123.33
8/10/2020,123.09,123.58,123.75,122.4201
7/10/2020,122.91,121.95,123.3098,120.93
6/10/2020,120.93,123.13,124.19,120.61
5/10/2020,123.37,123.26,123.595,122.33
,,,,
2/10/2020,122.55,121.99,123.6775,121.69
1/10/2020,123.31,124.94,125.47,122.42
09/30/2020,124.08,123.24,125.55,123.24
09/29/2020,125.4,125.92,126.29,123.675
09/28/2020,125.99,125.75,126.86,125.37
,,,,
09/25/2020,124,121.36,124.19,120.98
09/24/2020,122.49,121.93,123.8,120.78
09/23/2020,123.28,127.07,127.3,122.901
09/22/2020,127.21,125.26,127.47,124.7
09/21/2020,125.41,125.98,126.8858,123.59
,,,,
09/18/2020,128.63,129.5,130.79,128.1201
09/17/2020,130.22,130.55,131.77,128.6
09/16/2020,132.09,132.17,133.62,131.4
09/15/2020,131.24,131.46,132.54,131.005
09/14/2020,131.25,132.53,132.93,130.904
,,,,
11/9/2020,131.75,133.74,133.74,131.09
10/9/2020,133.22,133.58,136.75,132.74
9/9/2020,133.36,134.28,135.55,132.26
8/9/2020,134.2,131.99,137.14,130.86
,,,,
4/9/2020,131.99,133.75,134.88,129.42
3/9/2020,133.24,135.24,137.2374,132.02
2/9/2020,135.39,133.63,135.92,133.264
1/9/2020,133.55,131.92,133.61,130.89
08/31/2020,131.87,135.25,135.54,131.25
,,,,
08/28/2020,135.54,134.5,136.8,133.5801
08/27/2020,133.73,133,136.36,132.82
08/26/2020,132.18,130,132.6,129.52
08/25/2020,129.79,130.83,131.09,129.31
08/24/2020,130.69,128.15,130.88,127.93
,,,,
08/21/2020,127.44,127.72,128.31,127.23
08/20/2020,128.12,126.8,128.45,126.53
08/19/2020,127.77,129.25,130.2166,127.43
08/18/2020,128.92,129.44,129.59,128.36
08/17/2020,129.37,130.1,130.1371,128.54
,,,,
08/14/2020,130.53,130.01,131.08,129.74
08/13/2020,130.96,130.64,132.35,130.45
12/8/2020,131.79,130.67,133,130.49
11/8/2020,130.49,130.53,132.76,130
10/8/2020,128.79,129.75,131.32,128.49
,,,,
7/8/2020,129.93,130.22,131.94,128.66
6/8/2020,130.82,126.96,131.63,125.61
5/8/2020,127.61,123.37,130.31,123.28
4/8/2020,117.29,115.96,118.35,115.76
3/8/2020,116.35,116.17,117.12,115.35
,,,,
07/31/2020,116.94,115.22,117.05,114.12
07/30/2020,115.66,114.91,116.29,113.37
07/29/2020,115.61,116.22,116.71,115.11
07/28/2020,116.18,115.46,116.84,114.68
07/27/2020,116.31,117.2,117.42,115.6842
,,,,
07/24/2020,117.61,115.7,118.21,115.53
07/23/2020,118.12,118.86,119.35,117.01
07/22/2020,119.03,118.19,119.3,117.925
07/21/2020,118.62,118.05,120.39,117.66
07/20/2020,117.79,118.05,118.485,116.82
,,,,
07/17/2020,118.65,118.9,119.56,117.06
07/16/2020,119.43,117.72,119.99,117.6
07/15/2020,120.9,121.63,122.09,119.7
07/14/2020,118.66,115.23,119.08,114.54
07/13/2020,116.22,119.94,120.13,115.89
,,,,
10/7/2020,119.34,116.83,119.4394,116.21
9/7/2020,116.81,116.51,117.85,115.38
8/7/2020,116.66,113.48,117.1299,112.81
7/7/2020,113.63,113.63,115.08,112.61
6/7/2020,114.43,113.83,114.53,112.9
,,,,
2/7/2020,112.18,115,115.1,112
1/7/2020,113.01,112.82,115.6,112.29
06/30/2020,111.51,111.5,112.05,109.93
06/29/2020,111.52,109,111.57,108.1001
,,,,
06/26/2020,109.1,110.95,111.2,108.0221
06/25/2020,111.36,108.99,111.51,108.5
06/24/2020,112.07,115.85,116,110.03
