date,close,open,high,low
03/19/2021,79.97,78.53,80.22,77.6175
03/18/2021,77.61,79.03,81,77.29
03/17/2021,80.14,80.5013,81.589,78.69
03/16/2021,82.46,82.53,84.44,81.1775
03/15/2021,82.53,82.23,83.61,80.46
,,,,
12/3/2021,81.95,79.08,82.42,78.01
11/3/2021,81.02,78.65,81.8,78.2
10/3/2021,75.72,78.15,79.515,74.71
9/3/2021,76.67,74,77.43,73.37
8/3/2021,71.45,73.79,74.96,71.01
,,,,
5/3/2021,73.7,75.99,76.55,68.07
4/3/2021,75.36,77.95,80.01,73.34
3/3/2021,78.88,83.3422,84.16,78.7
2/3/2021,83.19,84.74,86.78,82.87
1/3/2021,84.89,82.23,85.75,82
,,,,
02/26/2021,81.02,80.31,82.9,78.29
02/25/2021,81.4,86.71,88.78,81.35
02/24/2021,88.03,87.32,88.04,83.03
02/23/2021,86.97,82.63,87.84,77.9045
02/22/2021,86.61,88.89,89.9899,85.91
,,,,
02/19/2021,90.96,92.9,93.78,90.8
02/18/2021,91.38,92.73,93.5845,89.5631
02/17/2021,95.84,98.4,98.4,90.91
02/16/2021,98.71,101.79,102.29,97.82
,,,,
12/2/2021,100.75,98.5,101.2399,97.18
11/2/2021,99.59,100.72,100.73,98.1
10/2/2021,99.88,102.72,104.99,98.14
9/2/2021,101.85,100.18,103.14,99.3
8/2/2021,100.33,98.08,101.2,97.9
,,,,
5/2/2021,97.4,98.95,99.7973,96.165
4/2/2021,98.59,99.31,100.91,97.11
3/2/2021,98.94,98.25,99.43,96.27
2/2/2021,97.29,99.07,100.8899,96.6
1/2/2021,98.31,99.58,99.9,95.2946
,,,,
01/29/2021,99.15,104.45,106.57,98.08
01/28/2021,105.1,103.67,106.5622,100.66
01/27/2021,102.81,100.11,104.93,96.58
01/26/2021,104.69,106.355,107.735,102.59
01/25/2021,104.94,108.38,112.5,102.4
,,,,
01/22/2021,106.67,104.51,106.96,102.85
01/21/2021,107.53,103.39,107.72,101.34
01/20/2021,101.75,103.3,105.38,101.05
01/19/2021,100.24,99.7712,100.99,98.47
,,,,
01/15/2021,96.58,104.99,105.29,96.29
01/14/2021,106.04,104.6,108.47,104.6
01/13/2021,104.18,104.58,105.31,101.35
12/1/2021,104.32,104.47,107.47,101.93
11/1/2021,103.76,101.51,105.32,101.2
,,,,
8/1/2021,104.1,108.5682,109.62,101.415
7/1/2021,105.5,104.89,107.1698,102.83
6/1/2021,99.69,98.84,102.13,96.0601
5/1/2021,92.16,97.09,97.82,91.3
4/1/2021,101.24,101.58,105.31,100.56
,,,,
12/31/2020,98.92,100.27,101.005,98.8
12/30/2020,100.34,98.24,101.65,97.99
12/29/2020,96.98,101.41,101.73,95.27
12/28/2020,101.19,104.86,108.53,100.54
,,,,
12/24/2020,102.4,101.83,103.29,99.6904
12/23/2020,101.83,107.37,109.09,101.34
12/22/2020,105.16,98.22,106.04,98
12/21/2020,96.41,92.4,96.5297,91.8415
,,,,
12/18/2020,93.59,93.34,95.49,92.32
12/17/2020,92.32,92.95,93.39,91.01
12/16/2020,91.77,91.27,93.18,89.36
12/15/2020,91.26,85.5,91.3,84.77
12/14/2020,86.59,87.2445,88.25,86.2
,,,,
11/12/2020,86.37,85.66,87.92,85.3964
10/12/2020,86.54,85.9,87.74,85.61
9/12/2020,86.22,91.21,91.34,85.22
8/12/2020,89.89,88.74,90.39,88.7
7/12/2020,88.75,89.95,90.85,88.21
,,,,
4/12/2020,89.26,89.95,91.56,88.47
3/12/2020,88.92,90.99,92.73,88.51
2/12/2020,90.49,89.92,91.464,87.26
1/12/2020,91.06,90.875,93.4,90.06
11/30/2020,93.43,96.87,98.4597,90.6
,,,,
11/27/2020,94.7,95,97.5799,93.68
11/25/2020,92.45,89.84,93,89.51
11/24/2020,90.41,89.51,91.5,86.3088
11/23/2020,86.92,85.75,87.35,84.124
,,,,
11/20/2020,84.69,85.25,86.4218,83.37
11/19/2020,84.06,81.46,85.77,81.45
11/18/2020,81.99,82.27,83.82,80.34
11/17/2020,81.48,80.15,81.78,79.272
11/16/2020,80.21,80.8,82.25,79.05
,,,,
11/13/2020,79.95,82.29,82.98,79.76
12/11/2020,81.4,84.79,85,80.7
11/11/2020,84.2,82.04,85.5,82
10/11/2020,80.75,83.5,86,79.78
9/11/2020,86.11,95.72,95.72,86.045
,,,,
6/11/2020,88.27,88.75,90.73,86.34
5/11/2020,86.9,82.31,88.655,82.01
4/11/2020,79.78,82.26,83.54,77.77
3/11/2020,87.24,89.52,90.72,85
2/11/2020,88.89,89,90.88,87.2
,,,,
10/30/2020,87.045,86.8375,88.1019,81.7054
10/29/2020,87.46,91.15,92.88,86.75
10/28/2020,93.31,92.33,97.93,90.21
10/27/2020,82.39,83.12,84.51,81.449
10/26/2020,83.75,82.65,85.11,80.67
,,,,
10/23/2020,85.37,83.4,86.24,82.8001
10/22/2020,82.65,81.8,83.36,80.15
10/21/2020,81.6,85.47,87.41,81.29
10/20/2020,84.3,84.73,86.58,82.94
10/19/2020,83.43,84.17,87.44,82.85
,,,,
10/16/2020,84.18,82.64,85.5,81.6378
10/15/2020,82.28,80.71,82.8499,78.69
10/14/2020,83.72,84.16,85.66,82.57
10/13/2020,82.93,79.02,84.45,78.49
12/10/2020,79.31,81.97,83.3,77.31
,,,,
9/10/2020,78.81,77.33,81.43,76.88
8/10/2020,77.12,80.5,80.6,76.5
7/10/2020,78.71,75.41,81.24,75
6/10/2020,73.44,72.58,75.57,71.8
5/10/2020,71.5,68.55,71.78,68.29
,,,,
2/10/2020,67.24,67.01,69.32,66.71
1/10/2020,68.57,67.27,68.88,66.78
09/30/2020,66.2,65.795,68.14,65.65
09/29/2020,65.76,65.5,66,64.7
09/28/2020,65.37,64.26,65.58,63.9301
,,,,
09/25/2020,63.05,61.25,63.56,60.4
09/24/2020,61.3,61.2,62.2,59.52
09/23/2020,62.02,62.07,63.84,61.8
09/22/2020,61.55,62.16,62.2,60.56
09/21/2020,61.67,60.48,62.3,60.25
,,,,
09/18/2020,61.75,64.18,64.79,61
09/17/2020,64,66.03,66.79,63.61
09/16/2020,71.96,73.78,74.7436,71.62
09/15/2020,72.89,72.56,74.05,72.03
09/14/2020,71.46,71.05,71.73,70.1
,,,,
11/9/2020,69.91,70.92,71.93,69.67
10/9/2020,69.89,72.3899,73.015,69.53
9/9/2020,71.7,70.74,72.13,70
8/9/2020,69.37,69.46,71.92,68.27
,,,,
4/9/2020,72.06,72.5,73.33,67.41
3/9/2020,72.5,76.49,76.49,71.5
2/9/2020,77.45,79.08,79.16,75.83
1/9/2020,78.42,76.61,78.49,76.4401
08/31/2020,76.59,80,80.84,76.16
,,,,
08/28/2020,80,78.25,81.87,77.6
08/27/2020,77.61,78.19,79.95,77.01
08/26/2020,78.19,78.21,80.09,76.94
08/25/2020,77.37,77.32,78.165,74.735
08/24/2020,76.52,74.8,76.77,74.08
,,,,
08/21/2020,74.1,73.93,74.9033,73.33
08/20/2020,73.66,74.94,75.6,73.43
08/19/2020,75.85,74.59,77.5,74.53
08/18/2020,74.41,73.91,74.92,72.82
08/17/2020,73.61,75.24,75.49,73.28
,,,,
08/14/2020,74.31,75.71,76.2,74.02
08/13/2020,75.71,73.24,76.53,73.15
12/8/2020,73.53,70.09,74.94,69.635
11/8/2020,70.19,72.83,72.845,69.5
10/8/2020,72.5,72.93,74.99,71.35
,,,,
7/8/2020,72.93,69.1,78.535,68.95
6/8/2020,64.46,64.86,65.36,63.13
5/8/2020,65.73,63.33,65.74,62.45
4/8/2020,64.04,61.69,64.23,61.2
3/8/2020,60.84,60,61.01,59.29
,,,,
07/31/2020,59.55,60.06,60.15,58.34
07/30/2020,59.7,59.56,59.95,58.5097
07/29/2020,60.11,60.04,60.84,59.63
07/28/2020,59.68,61.8,62.09,59.58
07/27/2020,62.26,60.84,62.47,60.24
,,,,
07/24/2020,62.16,61.31,62.37,60.5703
07/23/2020,62.5,61.9,63.47,60.77
07/22/2020,61.15,60.61,61.8,60.36
07/21/2020,60.74,62.66,62.84,59.89
07/20/2020,62.16,60.92,63.68,60.61
,,,,
07/17/2020,61,59.39,61.335,59.24
07/16/2020,59.03,60.43,60.93,58.54
07/15/2020,60.98,62.5,62.7,58.99
07/14/2020,61.78,55.99,61.83,55.35
07/13/2020,56.21,57.91,59.61,56.11
,,,,
10/7/2020,57.49,58.45,58.45,56.34
9/7/2020,57.2,58.5,59.57,55.9
8/7/2020,58.06,53.37,58.1699,53.13
7/7/2020,53.16,53.2,53.57,52.35
6/7/2020,53.41,50.79,53.7,50.5
,,,,
2/7/2020,49.88,49.97,50.99,49.78
1/7/2020,49.09,49.28,49.89,49.04
06/30/2020,49.5,49.69,50.34,48.97
