date,close,open,high,low
,,,,
03/19/2021,18.42,17.28,18.575,16.91
03/18/2021,17.23,18.74,18.75,17.06
03/17/2021,18.97,18.2,18.97,18.06
03/16/2021,18.29,19.56,19.72,18.21
03/15/2021,20.06,19.85,20.2,19.54
,,,,
12/3/2021,20.22,20.16,20.37,19.8
11/3/2021,19.9,19.14,19.93,19.01
10/3/2021,18.97,18.39,19.11,18.14
9/3/2021,18.25,18.6,18.8,17.881
8/3/2021,18.67,20.08,20.5288,18.335
,,,,
5/3/2021,19.89,19.5,19.89,18.73
4/3/2021,18.83,17.82,19.4878,17.66
3/3/2021,17.46,16.7,17.99,16.6
2/3/2021,16.51,16.78,17.61,16.47
1/3/2021,16.78,16.9,17.26,16.455
,,,,
02/26/2021,16.33,16.35,16.72,15.465
02/25/2021,16.65,17.52,17.88,16.5
02/24/2021,17.34,16.39,17.63,16.23
02/23/2021,16.23,15.89,16.41,14.63
02/22/2021,15.71,15.2,16.475,15.09
,,,,
02/19/2021,14.95,14.45,15.06,14.42
02/18/2021,14.4,15.2,15.31,14.35
02/17/2021,15.24,14.95,15.31,14.5358
02/16/2021,14.86,14.87,15.22,14.56
,,,,
12/2/2021,14.28,13.56,14.41,13.51
11/2/2021,13.755,14.191,14.31,13.4726
10/2/2021,14.3793,13.7154,14.5082,13.6262
9/2/2021,13.5865,14.0721,14.1316,13.5667
8/2/2021,14.2901,13.1604,14.3496,13.1554
,,,,
5/2/2021,12.9127,13.1406,13.2892,12.7937
4/2/2021,12.8829,12.9127,13.081,12.5658
3/2/2021,13.0217,12.2487,13.1703,12.2487
2/2/2021,12.1298,12.3874,12.5063,11.8771
1/2/2021,11.991,12.437,12.5361,11.778
,,,,
01/29/2021,12.2586,12.6649,13.3636,12.1149
01/28/2021,12.8136,13.7253,13.8838,12.546
01/27/2021,13.8739,12.2586,14.6122,12.1694
01/26/2021,12.5955,12.5658,13.0811,12.3874
01/25/2021,12.437,12.1199,12.6302,11.5585
,,,,
01/22/2021,12.4072,12.2784,12.7492,11.9415
01/21/2021,12.8928,14.9343,15.1523,12.4717
01/20/2021,14.9937,15.6181,15.7438,14.8748
01/19/2021,15.4199,14.8154,15.6379,14.7761
,,,,
01/15/2021,14.5577,15.1325,15.2217,14.4091
01/14/2021,15.4298,14.8649,15.6924,14.8302
01/13/2021,14.637,15.2118,15.2365,14.3694
12/1/2021,15.2514,14.3298,15.2613,14.2406
11/1/2021,14.0027,13.3784,14.0721,13.2397
,,,,
8/1/2021,13.9631,14.8847,14.8847,13.8838
7/1/2021,14.6073,14.8649,15.0388,14.429
6/1/2021,14.5577,13.6361,14.9194,13.2694
5/1/2021,13.4775,12.7045,13.7748,12.65
4/1/2021,12.4072,12.1793,12.5906,11.9415
,,,,
12/31/2020,11.991,12.0604,12.2576,11.9415
12/30/2020,12.1991,11.9117,12.3363,11.8919
12/29/2020,11.9613,12.0307,12.2487,11.8127
12/28/2020,11.9018,12.1099,12.4518,11.8721
,,,,
12/24/2020,12.0505,12.3379,12.3577,11.882
12/23/2020,12.2487,11.555,12.3478,11.552
12/22/2020,11.3964,11.6343,11.7334,11.3617
12/21/2020,11.6838,11.3072,11.8721,11.0496
,,,,
12/18/2020,12.1298,12.0208,12.2685,11.8325
12/17/2020,12.0604,12.3973,12.5063,11.9316
12/16/2020,12.2982,13.0415,13.0712,12.2388
12/15/2020,13.0118,12.5856,13.0217,12.4036
12/14/2020,12.8036,13.7352,13.8541,12.7442
,,,,
11/12/2020,13.3289,13.6757,13.6757,13.0613
10/12/2020,13.4874,12.2883,13.5469,12.2338
9/12/2020,12.2883,12.3379,12.8036,11.9712
8/12/2020,12.1298,11.4559,12.1793,11.446
7/12/2020,11.5946,12.1397,12.2883,11.5451
,,,,
4/12/2020,12.3478,11.3964,12.3577,11.3717
3/12/2020,11.119,10.8415,11.3765,10.6581
2/12/2020,10.6829,9.9199,11.1289,9.8901
1/12/2020,9.9595,10.3856,10.4649,9.7415
11/30/2020,9.9694,10.7325,10.8514,9.9298
,,,,
11/27/2020,11.0397,11.1784,11.2577,10.894
11/25/2020,11.2379,11.109,11.4807,10.8663
11/24/2020,11.3271,11.1982,11.5847,10.9554
11/23/2020,10.6135,9.7514,10.6235,9.682
,,,,
11/20/2020,9.4442,9.6721,9.8505,9.4244
11/19/2020,9.7018,9.137,9.7415,9.0676
11/18/2020,9.2757,9.682,9.9595,9.2658
11/17/2020,9.4838,9.2162,9.5334,9.0676
11/16/2020,9.3946,9.1667,9.4045,8.9982
,,,,
11/13/2020,8.6712,8.2946,8.7009,8.2638
12/11/2020,8.1906,8.2491,8.6884,8.0929
11/11/2020,8.4444,8.6201,8.7568,8.3419
10/11/2020,8.4834,8.747,8.7665,8.2882
9/11/2020,8.4737,7.8098,8.8935,7.7806
,,,,
6/11/2020,6.8727,7.0777,7.3754,6.8336
5/11/2020,7.107,7.3217,7.5658,7.0386
4/11/2020,7.5072,7.5365,7.6195,7.1362
3/11/2020,7.5072,7.9465,8.0246,7.4193
2/11/2020,7.7415,7.6634,7.8586,7.3803
,,,,
10/30/2020,7.5365,7.556,7.6536,7.3315
10/29/2020,7.6146,6.98,7.6146,6.8434
10/28/2020,7.2046,7.517,7.6244,7.0679
10/27/2020,7.8098,7.7903,7.9075,7.6439
10/26/2020,7.8391,8.4151,8.4151,7.7122
,,,,
10/23/2020,8.5127,8.8642,8.9569,8.4444
10/22/2020,8.7665,8.3077,8.7861,8.2394
10/21/2020,8.298,8.3761,8.7812,8.2443
10/20/2020,8.4932,8.1418,8.7031,8.1418
10/19/2020,8.0929,8.4151,8.4541,8.0832
,,,,
10/16/2020,8.3468,8.5615,8.747,8.298
10/15/2020,8.6396,8.0929,8.6445,8.0246
10/14/2020,8.2882,8.1125,8.7665,8.1125
10/13/2020,8.1027,8.3468,8.4737,8.0344
