date,close,open,high,low
03/17/2021,13,13.55,13.77,12.76
03/16/2021,13.16,13.09,13.35,12.71
03/15/2021,13.38,13.79,14.01,13.36
,,,,
12/3/2021,13.82,14.03,14.35,13.81
11/3/2021,13.49,13.82,13.95,13.25
10/3/2021,14.5,13.78,14.6085,13.73
9/3/2021,14.39,15.1,15.18,14.07
8/3/2021,16.32,15.13,16.3817,14.84
,,,,
5/3/2021,15.04,15.34,16.78,14.9
4/3/2021,15.76,15.09,16.3599,14.61
3/3/2021,15.02,13.98,15.04,13.85
2/3/2021,13.82,13.12,13.86,13.1
1/3/2021,13.19,13.78,13.98,13.14
,,,,
02/26/2021,14.48,14.26,14.96,13.8
02/25/2021,14.7,13.64,14.89,13.31
02/24/2021,13.29,14,14.34,13.25
02/23/2021,13.63,14.21,14.96,13.42
02/22/2021,13.52,13.05,13.54,12.9
,,,,
02/19/2021,12.54,12.22,12.66,12.21
02/18/2021,12.38,12.63,12.83,12.3
02/17/2021,12.22,12.38,12.625,12.19
02/16/2021,12.04,11.8604,12.18,11.76
,,,,
12/2/2021,11.96,12.24,12.37,11.93
11/2/2021,12.15,12.18,12.44,12.11
10/2/2021,12.35,12.11,12.72,12.0602
9/2/2021,12.27,12.38,12.38,12.14
8/2/2021,12.26,12.32,12.5186,12.25
,,,,
5/2/2021,12.51,12.54,12.74,12.4
4/2/2021,12.64,12.93,13.11,12.64
3/2/2021,13.1,12.71,13.1182,12.665
2/2/2021,12.97,13.24,13.26,12.81
1/2/2021,13.61,14.23,14.518,13.49
,,,,
01/29/2021,14.71,14.07,14.97,13.9303
01/28/2021,13.85,13.95,14.03,13.1813
01/27/2021,14.07,13.29,14.35,13.29
01/26/2021,13.01,12.99,13.19,12.88
01/25/2021,13.03,12.98,13.91,12.81
,,,,
01/22/2021,13.4,13.43,13.5,13.28
01/21/2021,13.28,13.47,13.63,13.2
01/20/2021,13.63,14.13,14.19,13.5
01/19/2021,14.64,14.96,15.13,14.57
,,,,
01/15/2021,15.32,15.01,15.5,14.85
01/14/2021,14.96,14.66,15.03,14.52
01/13/2021,14.74,15,15.08,14.61
12/1/2021,15.02,14.95,15.42,14.79
11/1/2021,14.96,14.75,15.05,14.58
,,,,
8/1/2021,14.34,14.59,14.91,14.29
7/1/2021,14.89,15.66,15.662,14.785
6/1/2021,16.09,16.16,16.325,15.44
5/1/2021,15.45,16,16,15.425
4/1/2021,15.84,15,16.445,14.98
,,,,
12/31/2020,15.18,15.32,15.49,15.135
12/30/2020,15.31,15.14,15.41,15.09
12/29/2020,15.31,15.16,15.46,15.06
12/28/2020,15.35,15.42,15.71,15.28
,,,,
12/24/2020,15.83,16,16.02,15.76
12/23/2020,16.04,15.81,16.07,15.75
12/22/2020,15.81,15.8,16.26,15.66
12/21/2020,15.95,16.31,16.75,15.85
,,,,
12/18/2020,15.85,15.61,16.22,15.565
12/17/2020,15.7,15.77,15.96,15.67
12/16/2020,16.03,16.23,16.4,15.9
12/15/2020,16.3,16.45,16.8299,16.3
12/14/2020,16.82,17,17.01,16.49
,,,,
11/12/2020,17.2,17.38,17.79,17.19
10/12/2020,17.1,17.68,17.8687,16.9
9/12/2020,17.29,16.23,17.48,16.19
8/12/2020,16.2,16.44,16.738,16.15
7/12/2020,16.36,16.62,16.65,16.31
,,,,
4/12/2020,16.64,16.86,16.97,16.63
3/12/2020,16.85,16.89,16.98,16.59
2/12/2020,16.92,17.2,17.52,16.87
1/12/2020,16.99,17.29,17.48,16.7
11/30/2020,17.7,17.74,18.555,17.62
,,,,
11/27/2020,17.8,17.94,18,17.58
11/25/2020,18.29,18.46,18.6282,18.18
11/24/2020,18.65,19.24,19.63,18.55
11/23/2020,19.46,19.26,19.94,19
,,,,
11/20/2020,19.47,19.1,19.48,18.95
11/19/2020,19.07,19.66,19.7987,19.01
11/18/2020,19.55,19.23,19.55,18.9
11/17/2020,19.1,18.89,19.25,18.83
11/16/2020,18.95,19.44,19.58,18.87
,,,,
11/13/2020,19.39,19.57,20.03,19.265
12/11/2020,19.9,19.45,20.155,19.17
11/11/2020,19.64,20.51,20.59,19.54
10/11/2020,21.04,20.68,21.65,20.38
9/11/2020,19.98,18.29,20.07,17.98
,,,,
6/11/2020,18.83,19.05,19.76,18.7
5/11/2020,18.9,19.09,19.4,18.67
4/11/2020,20.48,21.35,21.7899,20.01
3/11/2020,23.68,24.42,24.7,23.05
2/11/2020,24.95,24.45,25.78,23.95
,,,,
10/30/2020,25.03,23.86,25.71,23.6427
10/29/2020,23.36,24.26,24.41,22.51
10/28/2020,24.65,23.15,24.71,23
10/27/2020,22.06,22.36,22.67,21.87
10/26/2020,22.58,22.16,23.4487,21.51
,,,,
10/23/2020,21.6,21.6,22.31,21.5901
10/22/2020,21.75,21.56,22.5389,21.35
10/21/2020,21.76,21.64,21.87,21.04
10/20/2020,21.69,21.65,22.05,20.96
10/19/2020,21.85,20.42,22.08,20.2
,,,,
10/16/2020,20.84,20.14,20.91,19.83
10/15/2020,20.52,21.09,21.24,20.37
10/14/2020,20.09,19.44,20.46,19.24
10/13/2020,19.6,19.25,19.89,19.1
12/10/2020,19.62,20.51,20.76,18.95
,,,,
9/10/2020,21.62,22.24,22.3398,21.59
8/10/2020,22.64,22.43,22.92,22.4
7/10/2020,23.02,23.58,23.73,22.81
6/10/2020,24.3,23.27,24.52,22.8
5/10/2020,23.06,24.1,24.1199,22.97
,,,,
2/10/2020,24.61,24.22,24.86,23.33
1/10/2020,22.73,22.85,23.34,22.57
09/30/2020,23.85,24.32,24.39,23.01
09/29/2020,24.37,24.18,24.52,23.905
09/28/2020,24.06,24.22,24.99,24.04
,,,,
09/25/2020,25.63,27.42,27.9,25.38
09/24/2020,27.57,28.77,28.89,26.51
09/23/2020,28,25.72,28.21,25.6587
09/22/2020,25.62,26.35,27.428,25.435
09/21/2020,27.11,28.68,29.42,27.09
,,,,
09/18/2020,27.48,26.06,28.7,25.9347
09/17/2020,26.42,27.2,27.45,25.87
09/16/2020,25.28,23.919,25.34,23.77
09/15/2020,24.1,24.15,24.6,23.72
09/14/2020,25.2,25.42,25.82,24.57
,,,,
11/9/2020,26.56,25.44,27.6,25.195
10/9/2020,26.01,23.75,26.5,23.42
9/9/2020,24.6,25.28,26.02,23.92
8/9/2020,26.93,26.37,27.01,24.87
,,,,
4/9/2020,23.58,23.03,26.34,22.27
3/9/2020,22.68,20.54,23.24,20.47
2/9/2020,19.66,19.57,20.855,19.55
1/9/2020,20.24,20.76,21.13,20.22
08/31/2020,21.35,21.74,21.8412,20.915
,,,,
08/28/2020,21.85,21.93,22.23,21.72
08/27/2020,22.22,21.75,22.74,21.5701
08/26/2020,22,23.2092,23.235,21.9632
08/25/2020,23.51,24.2792,24.4,23.5
08/24/2020,24.07,23.69,24.695,23.4605
,,,,
08/21/2020,24.54,25.03,25.19,24.42
08/20/2020,25.06,26.39,26.5,24.92
08/19/2020,26.16,25.65,26.28,25.34
08/18/2020,25.65,26.09,26.52,25.5
08/17/2020,26.4,26.8,26.9,26.3
,,,,
08/14/2020,27.4,27.1,27.8,27
08/13/2020,27.25,27.25,27.55,26.55
12/8/2020,27.4,28.95,29,27.1
11/8/2020,29.7,28.5,29.9,28.05
10/8/2020,28.1,27.65,29.25,27.6
,,,,
7/8/2020,27.7,27,28.4,26.75
6/8/2020,26.8,28.05,28.2,26.7
5/8/2020,27.95,28,28.3,27.8
4/8/2020,28.1,28.7,28.9,28.1
3/8/2020,28.475,28.95,29,28.2
,,,,
07/31/2020,29.65,29.65,31.45,29.6
07/30/2020,31.3,32.65,33.05,31.15
07/29/2020,31.8,32.4,32.6,31.5
07/28/2020,32.95,32.1,33.1,31.85
07/27/2020,31.75,32.946,33.25,31.65
,,,,
07/24/2020,33.6,34.2,35.2,33.05
07/23/2020,32.65,30.45,33.2,30.2
07/22/2020,30.25,30.45,31.15,29.95
07/21/2020,30.6,29.15,30.9,29.15
07/20/2020,29.7,32.2,32.7,29.45
,,,,
07/17/2020,32.55,32.35,33.35,32.1
07/16/2020,32.6,32.9835,33.85,32.35
07/15/2020,31.9,31.65,33.2,31.25
07/14/2020,32.1,33.7505,35.05,31.95
07/13/2020,32.8,29.9,33.15,28.9
,,,,
10/7/2020,30.9,31.65,32.65,30.85
9/7/2020,31.6,31.75,33.3,31.3
8/7/2020,32.4,33.175,33.795,32.3945
7/7/2020,33.75,33.25,33.85,32.1
6/7/2020,33.1,34.35,34.35,32.8
,,,,
2/7/2020,35.7,35.4,35.9,34.8
1/7/2020,36.45,37.75,38,35.95
06/30/2020,37.8,40.2,40.2995,37.5
06/29/2020,40.25,41.6,43,40.15
,,,,
