date,close,open,high,low
03/19/2021,22.02,21.76,22.185,21.36
03/18/2021,21.7,23.02,23.105,21.5618
03/17/2021,23.27,22.65,23.31,22.63
03/16/2021,22.76,23.04,23.11,22.56
03/15/2021,23.29,23.49,23.69,23.105
,,,,
12/3/2021,23.53,23.08,23.63,23.01
11/3/2021,23.01,22.84,23.22,22.59
10/3/2021,22.51,21.97,22.595,21.86
9/3/2021,21.86,22.04,22.2,21.63
8/3/2021,22.01,22.3,22.3,21.69
,,,,
5/3/2021,21.99,21.86,22.39,21.7201
4/3/2021,21.23,21,21.905,20.7
3/3/2021,20.75,20.72,21.18,20.71
2/3/2021,20.5036,20.0969,20.7119,20.0572
1/3/2021,20.077,20.3052,20.5333,19.8489
,,,,
02/26/2021,19.7001,20.0671,20.1564,19.3628
02/25/2021,20.4837,21.5749,21.5947,20.4639
02/24/2021,21.3567,20.9797,21.6841,20.6226
02/23/2021,20.7615,20.6524,20.9722,19.6753
02/22/2021,20.3548,18.9363,20.6871,18.9065
,,,,
02/19/2021,18.8272,18.6883,18.9462,18.4701
02/18/2021,18.6189,18.847,18.9958,18.3213
02/17/2021,18.8966,18.609,18.9146,18.2419
02/16/2021,18.6387,18.3907,18.6959,18.0931
,,,,
12/2/2021,17.8848,17.5178,17.8948,17.4434
11/2/2021,17.6864,17.9245,18.0386,17.6071
10/2/2021,17.9642,17.7658,18.1378,17.7509
9/2/2021,17.6864,17.4186,17.8551,17.1012
8/2/2021,17.5178,17.3789,17.5575,17.1607
,,,,
5/2/2021,17.121,17.3492,17.4285,17.0516
4/2/2021,17.0218,17.5972,17.6468,16.268
3/2/2021,17.3293,16.9127,17.3343,16.7342
2/2/2021,16.7143,17.0913,17.2698,16.6846
1/2/2021,16.6548,16.883,16.883,16.3076
,,,,
01/29/2021,16.5953,16.9425,17.25,16.5011
01/28/2021,17.0516,17.2599,17.5178,16.8251
01/27/2021,17.002,16.754,17.4484,16.4812
01/26/2021,17.0615,17.5277,17.7856,17.0516
01/25/2021,17.3789,17.3789,17.4881,17.0863
,,,,
01/22/2021,17.5575,17.5178,17.6765,17.3293
01/21/2021,17.994,18.0336,18.0485,17.4781
01/20/2021,18.0931,18.2816,18.3511,17.9741
01/19/2021,18.1328,18.0832,18.2816,17.7658
,,,,
01/15/2021,18.1824,18.8371,18.9065,18.1725
01/14/2021,19.224,18.4502,19.4918,18.3015
01/13/2021,18.361,18.6982,18.728,18.2816
12/1/2021,18.728,18.4403,18.7379,18.1775
11/1/2021,18.1725,17.8551,18.2618,17.7261
,,,,
8/1/2021,18.3312,18.8569,18.8569,18.1031
7/1/2021,18.609,18.6982,18.7974,18.4304
6/1/2021,18.3808,18.4304,18.7776,18.0931
5/1/2021,18.0733,16.7044,18.2915,16.7044
4/1/2021,16.5854,16.8631,17.0814,16.4168
,,,,
12/31/2020,16.6449,16.8334,17.0318,16.635
12/30/2020,16.9226,16.6846,17.2401,16.6846
12/29/2020,16.7143,17.0615,17.2401,16.7143
12/28/2020,16.9127,17.0615,17.374,16.8483
,,,,
