date,close,open,high,low
03/17/2021,701.81,656.87,703.73,651.01
03/16/2021,676.88,703.35,707.92,671
03/15/2021,707.94,694.09,713.18,684.04
,,,,
12/3/2021,693.73,670,694.88,666.139
11/3/2021,699.6,699.4,702.5,677.18
10/3/2021,668.06,700.3,717.85,655.06
9/3/2021,673.58,608.18,678.09,595.21
8/3/2021,563,600.55,620.125,558.79
,,,,
5/3/2021,597.95,626.06,627.842,539.49
4/3/2021,621.44,655.8,873.94,600
3/3/2021,653.2,687.99,700.7,651.705
2/3/2021,686.44,718.28,721.11,685
1/3/2021,718.43,690.11,872,685.05
,,,,
02/26/2021,675.5,700,706.7,659.51
02/25/2021,682.22,726.15,737.207,670.58
02/24/2021,742.02,711.85,745,694.17
02/23/2021,698.84,662.13,713.61,619
02/22/2021,714.5,762.64,768.5,710.2
,,,,
02/19/2021,781.3,795,796.79,777.37
02/18/2021,787.38,780.9,794.69,776.27
02/17/2021,798.15,779.09,799.84,762.01
02/16/2021,796.22,818,821,792.44
,,,,
12/2/2021,816.12,801.26,817.33,785.331
11/2/2021,811.66,812.44,829.88,801.725
10/2/2021,804.82,843.635,844.82,800.02
9/2/2021,849.46,855.12,859.8,841.75
8/2/2021,863.42,869.67,877.77,854.75
,,,,
5/2/2021,852.23,845,864.77,838.97
4/2/2021,849.99,855,856.5,833.42
3/2/2021,854.69,877.02,878.08,853.065
2/2/2021,872.79,844.68,880.5,842.201
1/2/2021,839.81,814.29,842,795.56
,,,,
01/29/2021,793.53,830,842.41,780.1
01/28/2021,835.43,820,848,801
01/27/2021,864.16,870.35,891.5,858.66
01/26/2021,883.09,891.38,895.9,871.6
01/25/2021,880.8,855,900.4,838.82
,,,,
01/22/2021,846.64,834.31,848,828.62
01/21/2021,844.99,855,855.72,841.42
01/20/2021,850.45,858.74,859.5,837.28
01/19/2021,844.55,837.8,850,833
,,,,
01/15/2021,826.16,852,859.9,819.1
01/14/2021,845,843.39,863,838.75
01/13/2021,854.41,852.76,860.47,832
12/1/2021,849.44,831,868,827.34
11/1/2021,811.19,849.4,854.43,803.622
,,,,
8/1/2021,880.02,856,884.49,838.39
7/1/2021,816.04,777.63,816.99,775.2
6/1/2021,755.98,758.49,774,749.1
5/1/2021,735.11,723.66,740.84,719.2
4/1/2021,729.77,719.46,744.49,717.19
,,,,
12/31/2020,705.67,699.99,718.72,691.12
12/30/2020,694.78,672,696.6,668.36
12/29/2020,665.99,661,669.9,655
12/28/2020,663.69,674.51,681.4,660.8
,,,,
12/24/2020,661.77,642.99,666.09,641
12/23/2020,645.98,632.2,651.5,622.57
12/22/2020,640.34,648,649.88,614.23
12/21/2020,649.86,666.24,668.5,646.07
,,,,
12/18/2020,695,668.9,695,628.54
12/17/2020,655.9,628.19,658.82,619.5
12/16/2020,622.77,628.23,632.5,605
12/15/2020,633.25,643.28,646.9,623.8
12/14/2020,639.83,619,642.75,610.2
,,,,
11/12/2020,609.99,615.01,624,596.8
10/12/2020,627.07,574.37,627.75,566.34
9/12/2020,604.48,653.69,654.32,588
8/12/2020,649.88,625.505,651.28,618.5
7/12/2020,641.76,604.92,648.786,603.05
,,,,
4/12/2020,599.04,591.01,599.04,585.5
3/12/2020,593.38,590.02,598.97,582.43
